stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
409,,"Mesa y López (C.S. Alcaravaneras)",,28.13359792,-15.43633527,,,,,,
400,,"Mesa y López (Madera y Corcho)",,28.13146244,-15.43860728,,,,,,
411,,"Mesa y López (Madera y Corcho)",,28.13188393,-15.43845010,,,,,,
734,,"Base Naval",,28.13457771,-15.42932705,,,,,,
396,,"Néstor de la Torre (Mercado Central)",,28.13387101,-15.43231803,,,,,,
497,,"Mesa y López, 85",,28.12973954,-15.44068230,,,,,,
437,,"Mesa y López, 86",,28.13008803,-15.44059819,,,,,,
347,,"Pintor Felo Monzón (Bambú)",,28.10889861,-15.45157945,,,,,,
725,,"Pintor Felo Monzón (C.C. Siete Palmas)",,28.09772358,-15.45510951,,,,,,
624,,"Pintor Felo Monzón (frente Hipercor)",,28.09540800,-15.45576000,,,,,,
188,,"Pintor Felo Monzón (Trópico)",,28.10887583,-15.45123472,,,,,,
186,,"Pintor Felo Monzón, 1",,28.11115869,-15.45070223,,,,,,
698,,"Pintor Felo Monzón, 17",,28.10639046,-15.45195683,,,,,,
173,,"Pintor Felo Monzón, 2",,28.11157449,-15.45095811,,,,,,
721,,"Pintor Felo Monzón, 22",,28.10633776,-15.45232903,,,,,,
700,,"Pintor Felo Monzón, 25",,28.10288015,-15.45280084,,,,,,
637,,"Pintor Felo Monzón, 28",,28.10444394,-15.45278578,,,,,,
638,,"Pintor Felo Monzón, 29",,28.10080625,-15.45337326,,,,,,
636,,"Pintor Felo Monzón, 37",,28.09810961,-15.45456870,,,,,,
723,,"Pintor Felo Monzón, 38",,28.10077655,-15.45376994,,,,,,
243,,"Primero de Mayo (Correos)",,28.10619054,-15.42020565,,,,,,
262,,"Primero de Mayo, 35",,28.10650155,-15.42054416,,,,,,
3,,"Rafael Cabrera (San Telmo)",,28.10913611,-15.41612452,,,,,,
957,,"Semana de la Pasión, 13 (Las Coloradas)",,28.16599565,-15.43529452,,,,,,
651,,"Amurga (El Lasso, bloque 1)",,28.07444052,-15.42920846,,,,,,
686,,"Bernardino Correa Viera (C.S. Triana)",,28.10115824,-15.41856073,,,,,,
682,,"Biblioteca Universitaria",,28.07562612,-15.45171712,,,,,,
688,,"Biblioteca Universitaria",,28.07560663,-15.45203463,,,,,,
2,,"Francisco Gourié, 103",,28.10749746,-15.41637148,,,,,,
273,,"Osorio, 28",,28.15272573,-15.42627959,,,,,,
517,,"Aconcagua (colegio Casablanca III)",,28.09379555,-15.44242272,,,,,,
512,,"Aconcagua (colegio Casablanca III)",,28.09358878,-15.44249855,,,,,,
510,,"Aconcagua, 1",,28.09415819,-15.43944544,,,,,,
621,,"Aconcagua, 38",,28.09175293,-15.44561027,,,,,,
515,,"Pino Apolinario (Centro Cívico)",,28.09482887,-15.43909110,,,,,,
29,,"Agustín Millares Sall (edificio Mapfre)",,28.14789292,-15.42795076,,,,,,
364,,"Agustina de Aragón (iglesia San Marcos)",,28.10548794,-15.43923615,,,,,,
362,,"Agustina de Aragón, 145",,28.10626085,-15.43760978,,,,,,
360,,"Agustina de Aragón, 67",,28.10784866,-15.43466335,,,,,,
282,,"Albareda (Mercado del Puerto)",,28.14800199,-15.42933638,,,,,,
28,,"Albareda, 43",,28.14506442,-15.43024039,,,,,,
530,,"Alcalde Díaz Saavedra Navarro (Prudencio Guzmán)",,28.09654898,-15.41240578,,,,,,
302,,"Alceste, 27",,28.11021527,-15.43084876,,,,,,
313,,"Alfredo L. Jones, 1",,28.14218938,-15.43026002,,,,,,
610,,"Alicante (C.S. San José)",,28.09261832,-15.41386382,,,,,,
117,,"Alicante (colegio Islas Canarias)",,28.08527193,-15.41724806,,,,,,
122,,"Alicante (colegio Islas Canarias)",,28.08506061,-15.41715497,,,,,,
51,,"Alm. Benítez Inglott (C.S. Escaleritas)",,28.11265500,-15.43800100,,,,,,
49,,"Alm. Benítez Inglott, 12",,28.11381018,-15.43610078,,,,,,
345,,"Ana Benítez, 7",,28.09673512,-15.43906161,,,,,,
343,,"Ana Benítez, frente 42",,28.09792685,-15.43818058,,,,,,
341,,"Ana Benítez, frente 92",,28.09857019,-15.43566480,,,,,,
214,,"Andenes, 19",,28.09835596,-15.42926456,,,,,,
190,,"Andenes, 9",,28.09848032,-15.42799993,,,,,,
177,,"Andenes, frente 15",,28.09851440,-15.42847137,,,,,,
197,,"Andenes, frente 39",,28.09829686,-15.42986910,,,,,,
